index: 1, attacked_pos: [0.4943, -0.0056], ori_reward: 1.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.4382, -0.0057], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5148, -0.0041], ori_reward: 1.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.5136, 0.025], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.5406, 0.0143], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.581, 0.0125], ori_reward: 1.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4469, -0.0031], ori_reward: 0.0, rewards: tensor(0.)
index: 1, attacked_pos: [0.4813, -0.0062], ori_reward: 0.0, rewards: tensor(1.)
index: 1, attacked_pos: [0.4334, 0.0187], ori_reward: 0.0, rewards: tensor(0.)
index: 2, attacked_pos: [0.4813, -0.0125], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4656, 0.0], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5031, 0.0281], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5031, -0.0416], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5406, 0.0438], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4781, -0.0438], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4375, -0.0094], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5438, -0.0469], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5406, 0.0094], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5406, -0.0125], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.525, -0.0469], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5312, -0.0469], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5281, -0.0062], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.475, 0.0312], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5031, -0.0312], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5031, -0.0125], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5406, 0.0312], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4781, -0.05], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.45, -0.0469], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4531, 0.0406], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4938, 0.0031], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5312, 0.0406], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5156, -0.0094], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5031, -0.0062], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4531, 0.0375], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4906, 0.0031], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4563, 0.0344], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4928, 0.0344], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5312, 0.0281], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5281, -0.0438], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5156, 0.0062], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5406, 0.0344], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5406, -0.0125], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4531, 0.0406], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.475, 0.0531], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5031, 0.0875], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5031, -0.0125], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4938, 0.0281], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4531, 0.0031], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4906, -0.0156], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4875, 0.0344], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5031, 0.0438], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4781, 0.0375], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4536, 0.0], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4531, 0.0026], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4531, 0.0411], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4906, 0.0062], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5033, -0.0438], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4938, -0.0094], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5339, 0.038], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4531, 0.0031], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5094, 0.0094], ori_reward: 0.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.5344, 0.0312], ori_reward: 1.0, rewards: tensor(1.)
index: 2, attacked_pos: [0.4938, -0.0182], ori_reward: 1.0, rewards: tensor(1.)
